VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=508,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 118.114 29.1152 1.5 36.5 60.781 121.562
POLYGON 73
120.385 29.7616 9999
120.385 29.7645 9999
120.382 29.765 9999
120.376 29.765 9999
120.375 29.7678 9999
120.375 29.7707 9999
120.375 29.7735 9999
120.365 29.7753 9999
120.365 29.7789 9999
120.365 29.7824 9999
120.371 29.785 9999
120.375 29.7871 9999
120.375 29.79 9999
120.375 29.7931 9999
120.378 29.795 9999
120.383 29.795 9999
120.386 29.795 9999
120.389 29.795 9999
120.392 29.795 9999
120.394 29.795 9999
120.395 29.7972 9999
120.395 29.8015 9999
120.396 29.805 9999
120.399 29.805 9999
120.401 29.805 9999
120.403 29.805 9999
120.406 29.805 9999

VALUE 0 119.329 29.8171 1.5 38.5 15.1935 30.387
POLYGON 73
119.329 29.845 9999
119.332 29.845 9999
119.334 29.845 9999
119.335 29.8385 9999
119.335 29.8329 9999
119.335 29.8294 9999
119.335 29.827 9999
119.335 29.8253 9999
119.335 29.824 9999
119.335 29.8229 9999
119.335 29.8219 9999
119.335 29.8211 9999
119.335 29.8204 9999
119.335 29.8198 9999
119.335 29.8192 9999
119.335 29.8187 9999
119.335 29.8182 9999
119.335 29.8176 9999
119.335 29.8171 9999
119.335 29.8166 9999
119.335 29.8161 9999
119.335 29.8156 9999
119.335 29.8151 9999
119.335 29.8145 9999
119.335 29.8138 9999
119.335 29.8131 9999
119.345 29.804 9999
119.345 29.8014 9999
119.345 29.7984 9999
119.345 29.7947 9999
119.345 29.7899 9999
119.345 29.7834 9999
119.345 29.774 9999
119.343 29.765 9999
119.338 29.765 9999
119.332 29.785 9999
119.329 29.785 9999
119.326 29.785 9999
119.325 29.7929 9999
119.325 29.8012 9999
119.325 29.8054 9999
119.325 29.808 9999
119.325 29.8097 9999
119.325 29.811 9999
119.325 29.812 9999
119.325 29.8129 9999
119.325 29.8135 9999
119.325 29.8141 9999
119.325 29.8147 9999
119.325 29.8151 9999
119.325 29.8156 9999
119.325 29.816 9999
119.325 29.8164 9999
119.325 29.8168 9999
119.325 29.8171 9999
119.325 29.8175 9999
119.325 29.8179 9999
119.325 29.8183 9999
119.325 29.8187 9999
119.325 29.8191 9999
119.325 29.8196 9999
119.325 29.8201 9999
119.325 29.8207 9999
119.325 29.8214 9999
119.325 29.8222 9999
119.315 29.8375 9999
119.305 29.8592 9999
119.307 29.865 9999
119.312 29.865 9999
119.316 29.865 9999
119.321 29.865 9999
119.327 29.845 9999
119.329 29.845 9999

VALUE 0 120.812 29.9865 1.5 43.5 46.6661 93.3322
POLYGON 73
120.812 30.015 9999
120.815 30.015 9999
120.817 30.015 9999
120.82 30.015 9999
120.822 30.015 9999
120.825 30.0142 9999
120.825 30.0089 9999
120.818 29.995 9999
120.819 29.995 9999
120.821 29.995 9999
120.822 29.995 9999
120.824 29.995 9999
120.827 29.995 9999
120.83 29.995 9999
120.835 29.9948 9999
120.835 29.9926 9999
120.835 29.9906 9999
120.835 29.9885 9999
120.835 29.9865 9999
120.845 29.9836 9999
120.845 29.9807 9999
120.845 29.9777 9999
120.855 29.9709 9999
120.865 29.9618 9999
120.875 29.9502 9999
120.875 29.9425 9999
120.873 29.935 9999
120.864 29.935 9999
