VectorData v1.0
METADATA{
        filedescrible=TITAN风暴识别,date=2016-07-07,time=07:36:00,record=533,coord=GEO,dimension=3,invaild=9999
}
TAB{
        keyName=时效,质心x,质心y,质心z,最大反射率因子,投影面积,体积
        keyType=int,float,float,float,float,float,float

}
DATA BEGIN
VALUE 0 117.673 29.096 1.5 36 16.2805 32.561
POLYGON 73
120.706 29.915 9999
120.712 29.915 9999
120.715 29.9223 9999
120.72 29.925 9999
120.726 29.925 9999
120.732 29.925 9999
120.737 29.925 9999

VALUE 0 120.529 29.8188 1.5 43 17.3671 34.7341
POLYGON 73
120.529 29.835 9999
120.531 29.835 9999
120.532 29.835 9999
120.534 29.835 9999
120.535 29.8342 9999
120.535 29.8308 9999
120.535 29.8285 9999
120.535 29.8268 9999
120.535 29.8255 9999
120.536 29.825 9999
120.537 29.825 9999
120.538 29.825 9999
120.54 29.825 9999
120.543 29.825 9999
120.545 29.8244 9999
120.545 29.8229 9999
120.545 29.8215 9999
120.545 29.8201 9999
120.545 29.8188 9999
120.545 29.8174 9999
120.555 29.8142 9999
120.555 29.8119 9999
120.555 29.8094 9999
120.555 29.8068 9999
120.555 29.804 9999
120.555 29.8008 9999
120.555 29.7973 9999
120.553 29.795 9999
120.549 29.795 9999
120.546 29.795 9999
120.545 29.7917 9999
120.545 29.7852 9999
120.542 29.785 9999
120.538 29.785 9999
120.535 29.785 9999
120.531 29.795 9999
120.529 29.795 9999
120.527 29.795 9999
120.525 29.795 9999
120.525 29.8024 9999
120.525 29.8067 9999
120.525 29.8094 9999
120.525 29.8112 9999
120.525 29.8125 9999
120.525 29.8135 9999
120.525 29.8144 9999
120.525 29.815 9999
120.524 29.815 9999
120.523 29.815 9999
120.521 29.815 9999
120.519 29.815 9999
120.515 29.815 9999
120.515 29.8162 9999
120.515 29.8175 9999
120.515 29.8188 9999
120.515 29.82 9999
120.515 29.8213 9999
120.505 29.8253 9999
120.505 29.8276 9999
120.505 29.8301 9999
120.505 29.8328 9999
120.505 29.8358 9999
120.505 29.8392 9999
120.505 29.8431 9999
120.505 29.8478 9999
120.505 29.8536 9999
120.508 29.855 9999
120.512 29.855 9999
120.52 29.845 9999
120.522 29.845 9999
120.525 29.845 9999
120.528 29.835 9999
120.529 29.835 9999

VALUE 0 120.856 29.9449 1.5 41.5 40.159 80.318
POLYGON 73
120.856 29.965 9999
120.857 29.965 9999
120.859 29.965 9999
120.861 29.965 9999
120.863 29.965 9999
120.865 29.9649 9999
120.865 29.961 9999
120.865 29.9582 9999
120.865 29.956 9999
120.866 29.955 9999
120.868 29.955 9999
120.87 29.955 9999
120.873 29.955 9999
120.875 29.9539 9999
120.875 29.9519 9999
120.875 29.95 9999
120.875 29.9483 9999
120.875 29.9466 9999
120.875 29.9449 9999
120.875 29.9432 9999
120.875 29.9415 9999
120.875 29.9397 9999
120.885 29.9342 9999
120.905 29.9219 9999
120.915 29.9106 9999
120.913 29.905 9999
120.903 29.905 9999
120.896 29.905 9999
120.889 29.905 9999
120.884 29.905 9999
120.879 29.905 9999
120.874 29.905 9999
120.87 29.905 9999
120.866 29.905 9999
120.861 29.915 9999
120.858 29.915 9999
120.856 29.915 9999
120.854 29.925 9999
120.852 29.925 9999
120.85 29.925 9999
120.848 29.925 9999
120.846 29.925 9999
120.844 29.925 9999
120.842 29.925 9999
120.839 29.925 9999
120.836 29.925 9999
120.835 29.9275 9999
120.835 29.9304 9999
120.835 29.9329 9999
120.835 29.935 9999
120.829 29.935 9999
120.825 29.9366 9999
120.825 29.9395 9999
120.825 29.9422 9999
120.825 29.9449 9999
120.835 29.9467 9999
120.835 29.9485 9999
120.835 29.9504 9999
120.835 29.9524 9999
120.835 29.9545 9999
120.815 29.9683 9999
120.805 29.9803 9999
120.808 29.985 9999
120.815 29.9855 9999
120.815 29.9933 9999
120.821 29.995 9999
120.827 29.995 9999
120.832 29.995 9999
120.841 29.985 9999
120.845 29.985 9999
120.85 29.975 9999
120.853 29.975 9999
120.856 29.965 9999

VALUE 0 118.528 30.0798 1.5 53 90.022 180.044
POLYGON 73
118.528 30.135 9999
118.533 30.135 9999
118.538 30.135 9999
118.546 30.145 9999
118.552 30.145 9999
118.559 30.145 9999
118.566 30.145 9999
118.574 30.145 9999
118.583 30.145 9999
118.585 30.1367 9999
118.585 30.1275 9999
118.575 30.1126 9999
118.575 30.1069 9999
118.575 30.1016 9999
118.575 30.0968 9999
118.575 30.0923 9999
118.575 30.088 9999
118.535 30.0804 9999
118.535 30.0798 9999
118.535 30.0792 9999
118.535 30.0785 9999
118.535 30.0779 9999
118.535 30.0772 9999
118.535 30.0765 9999
118.535 30.0758 9999
118.535 30.0749 9999
118.535 30.0739 9999
118.535 30.0728 9999
118.535 30.0715 9999
118.535 30.0699 9999
118.535 30.0678 9999
118.535 30.0649 9999
118.535 30.0607 9999
118.535 30.0539 9999
118.535 30.0405 9999
118.535 30.0006 9999
118.528 29.995 9999
118.518 29.965 9999
118.508 29.965 9999
118.497 29.965 9999
118.486 29.965 9999
118.512 30.045 9999
118.508 30.045 9999
118.505 30.0468 9999
118.505 30.0523 9999
118.505 30.0567 9999
118.505 30.0604 9999
118.505 30.0636 9999
118.505 30.0664 9999
118.505 30.069 9999
118.505 30.0714 9999
118.505 30.0736 9999
118.501 30.075 9999
118.495 30.0769 9999
118.495 30.0798 9999
118.495 30.0827 9999
118.495 30.0856 9999
118.495 30.0886 9999
118.495 30.0918 9999
118.495 30.0952 9999
118.495 30.0989 9999
118.485 30.1099 9999
118.485 30.1159 9999
118.485 30.1228 9999
118.49 30.125 9999
118.495 30.127 9999
118.495 30.137 9999
118.498 30.145 9999
118.504 30.145 9999
118.511 30.145 9999
118.517 30.145 9999
118.522 30.145 9999
118.528 30.135 9999

VALUE 0 118.456 30.0188 1.5 43.5 17.3687 34.7374
POLYGON 73
118.456 30.035 9999
118.457 30.035 9999
118.458 30.035 9999
118.46 30.035 9999
118.462 30.035 9999
118.463 30.035 9999
118.465 30.035 9999
118.467 30.035 9999
118.469 30.035 9999
118.472 30.035 9999
118.475 30.035 9999
118.475 30.0323 9999
118.475 30.0299 9999
118.475 30.0278 9999
118.475 30.0258 9999
118.479 30.025 9999
118.485 30.0239 9999
118.485 30.0213 9999
118.485 30.0188 9999
118.485 30.0162 9999
118.477 30.015 9999
118.475 30.0136 9999
118.475 30.0117 9999
118.475 30.0097 9999
118.475 30.0076 9999
118.475 30.0052 9999
118.475 30.0025 9999
118.475 29.9994 9999
118.475 29.9957 9999
118.472 29.995 9999
118.469 29.995 9999
118.467 29.995 9999
118.461 30.005 9999
118.459 30.005 9999
118.458 30.005 9999
118.457 30.005 9999
118.456 30.005 9999
118.454 30.005 9999
118.453 30.005 9999
118.452 30.005 9999
118.451 30.005 9999
118.445 29.995 9999
118.442 29.995 9999
118.439 29.995 9999
118.436 29.995 9999
118.435 29.9981 9999
118.435 30.0014 9999
118.435 30.0043 9999
118.435 30.0068 9999
118.435 30.0091 9999
118.435 30.0112 9999
118.435 30.0132 9999
118.435 30.0151 9999
118.435 30.0169 9999
118.435 30.0188 9999
118.435 30.0206 9999
118.435 30.0224 9999
118.435 30.0243 9999
118.435 30.0263 9999
118.435 30.0284 9999
118.435 30.0307 9999
118.435 30.0332 9999
118.435 30.0361 9999
118.435 30.0394 9999
118.435 30.0433 9999
118.437 30.045 9999
118.44 30.045 9999
118.443 30.045 9999
118.45 30.035 9999
118.451 30.035 9999
118.453 30.035 9999
118.454 30.035 9999
118.456 30.035 9999

VALUE 0 118.465 30.0775 1.5 40 21.7091 43.4182
POLYGON 73
118.465 30.105 9999
118.467 30.105 9999
118.47 30.105 9999
118.472 30.105 9999
118.475 30.105 9999
118.475 30.0989 9999
118.475 30.095 9999
118.477 30.095 9999
118.48 30.095 9999
118.483 30.095 9999
118.485 30.0943 9999
118.485 30.0915 9999
118.485 30.089 9999
118.485 30.0868 9999
118.485 30.0848 9999
118.485 30.0829 9999
118.485 30.081 9999
118.485 30.0792 9999
118.485 30.0775 9999
118.485 30.0758 9999
118.485 30.074 9999
118.485 30.0721 9999
118.485 30.0702 9999
118.485 30.0682 9999
118.485 30.066 9999
118.485 30.0635 9999
118.485 30.0607 9999
118.485 30.0575 9999
118.485 30.0537 9999
118.485 30.0489 9999
118.484 30.045 9999
118.48 30.045 9999
118.477 30.045 9999
118.471 30.055 9999
118.469 30.055 9999
118.467 30.055 9999
118.465 30.055 9999
118.463 30.055 9999
118.461 30.055 9999
118.459 30.055 9999
118.457 30.055 9999
118.455 30.055 9999
118.452 30.055 9999
118.449 30.055 9999
118.446 30.055 9999
118.445 30.0575 9999
118.445 30.0607 9999
118.445 30.0635 9999
118.445 30.066 9999
118.445 30.0682 9999
118.445 30.0702 9999
118.445 30.0721 9999
118.445 30.074 9999
118.445 30.0758 9999
118.445 30.0775 9999
118.445 30.0792 9999
118.445 30.081 9999
118.445 30.0829 9999
118.445 30.0848 9999
118.445 30.0868 9999
118.445 30.089 9999
118.445 30.0915 9999
118.445 30.0943 9999
118.445 30.0975 9999
118.445 30.1013 9999
118.446 30.105 9999
118.449 30.105 9999
118.452 30.105 9999
118.455 30.105 9999
118.458 30.105 9999
118.46 30.105 9999
118.463 30.105 9999
118.465 30.105 9999

VALUE 0 117.934 30.1749 1.5 61.5 298.337 596.673
POLYGON 73
117.934 30.215 9999
117.937 30.205 9999
117.939 30.205 9999
117.942 30.205 9999
117.945 30.205 9999
117.948 30.205 9999
117.957 30.215 9999
117.962 30.215 9999
117.965 30.212 9999
117.965 30.206 9999
117.97 30.205 9999
117.977 30.205 9999
117.986 30.205 9999
118.02 30.215 9999
118.044 30.215 9999
118.045 30.2046 9999
118.085 30.2015 9999
118.085 30.1881 9999
118.075 30.1749 9999
118.075 30.1625 9999
118.075 30.15 9999
118.075 30.1371 9999
118.065 30.1272 9999
118.065 30.1137 9999
118.055 30.105 9999
118.019 30.115 9999
118.005 30.115 9999
117.994 30.115 9999
117.984 30.115 9999
117.976 30.115 9999
117.968 30.115 9999
117.965 30.1082 9999
117.963 30.095 9999
117.955 30.095 9999
117.95 30.085 9999
117.938 30.125 9999
117.934 30.135 9999
117.93 30.135 9999
117.922 30.105 9999
117.915 30.105 9999
117.908 30.105 9999
117.901 30.105 9999
117.894 30.105 9999
117.885 30.1051 9999
117.885 30.1166 9999
117.885 30.126 9999
117.885 30.1339 9999
117.863 30.125 9999
117.855 30.1293 9999
117.848 30.135 9999
117.845 30.1425 9999
117.845 30.1511 9999
117.855 30.161 9999
117.821 30.165 9999
117.815 30.1749 9999
117.815 30.1853 9999
117.785 30.2011 9999
117.785 30.2148 9999
117.795 30.2254 9999
117.795 30.2396 9999
117.805 30.2493 9999
117.805 30.265 9999
117.838 30.255 9999
117.854 30.255 9999
117.883 30.235 9999
117.899 30.225 9999
117.905 30.225 9999
117.911 30.225 9999
117.919 30.215 9999
117.923 30.215 9999
117.927 30.215 9999
117.93 30.215 9999
117.934 30.215 9999

VALUE 0 118.977 30.2914 1.5 49.5 31.48 62.96
POLYGON 73
118.977 30.325 9999
118.979 30.325 9999
118.982 30.325 9999
118.986 30.325 9999
118.989 30.325 9999
118.992 30.325 9999
118.995 30.3233 9999
118.995 30.3177 9999
118.988 30.305 9999
118.99 30.305 9999
118.993 30.305 9999
118.996 30.305 9999
119 30.305 9999
119.006 30.305 9999
119.014 30.305 9999
119.015 30.3017 9999
119.015 30.2982 9999
119.015 30.2947 9999
119.015 30.2914 9999
119.015 30.288 9999
119.015 30.2846 9999
119.015 30.2811 9999
119.015 30.2774 9999
119.012 30.275 9999
119.005 30.275 9999
119 30.275 9999
118.996 30.275 9999
118.993 30.275 9999
118.99 30.275 9999
118.988 30.275 9999
118.986 30.275 9999
118.984 30.275 9999
118.983 30.275 9999
118.981 30.275 9999
118.979 30.275 9999
118.978 30.275 9999
118.977 30.275 9999
118.974 30.265 9999
118.972 30.265 9999
118.969 30.265 9999
118.967 30.265 9999
118.964 30.265 9999
118.961 30.265 9999
118.958 30.265 9999
118.954 30.265 9999
118.95 30.265 9999
118.945 30.265 9999
118.945 30.2693 9999
118.945 30.2732 9999
118.941 30.275 9999
118.935 30.2763 9999
118.935 30.2802 9999
118.935 30.2841 9999
118.935 30.2877 9999
118.935 30.2914 9999
118.935 30.295 9999
118.956 30.295 9999
118.963 30.295 9999
118.965 30.2956 9999
118.965 30.2968 9999
118.965 30.298 9999
118.965 30.2995 9999
118.965 30.3011 9999
118.965 30.3029 9999
118.965 30.3051 9999
118.965 30.3079 9999
118.965 30.3114 9999
118.965 30.3162 9999
118.965 30.3231 9999
118.968 30.325 9999
118.971 30.325 9999
118.974 30.325 9999
118.977 30.325 9999

VALUE 0 117.704 30.3418 1.5 55.5 48.8435 97.6869
POLYGON 73
117.704 30.375 9999
117.706 30.365 9999
117.708 30.365 9999
117.71 30.365 9999
117.713 30.365 9999
117.715 30.365 9999
117.718 30.365 9999
117.72 30.365 9999
117.724 30.365 9999
117.727 30.365 9999
117.732 30.365 9999
117.735 30.3633 9999
117.735 30.3595 9999
117.735 30.3561 9999
117.741 30.355 9999
117.754 30.355 9999
117.755 30.3507 9999
117.755 30.3462 9999
117.745 30.3418 9999
117.745 30.3382 9999
117.745 30.3346 9999
117.745 30.3309 9999
117.745 30.3269 9999
117.74 30.325 9999
117.735 30.324 9999
117.735 30.3202 9999
117.735 30.316 9999
117.735 30.311 9999
117.735 30.3051 9999
117.73 30.305 9999
117.725 30.305 9999
117.721 30.305 9999
117.718 30.305 9999
117.714 30.305 9999
117.711 30.305 9999
117.707 30.305 9999
117.704 30.315 9999
117.702 30.315 9999
117.7 30.315 9999
117.697 30.315 9999
117.694 30.315 9999
117.692 30.315 9999
117.689 30.315 9999
117.685 30.315 9999
117.685 30.3189 9999
117.685 30.3226 9999
117.684 30.325 9999
117.68 30.325 9999
117.675 30.325 9999
117.668 30.325 9999
117.658 30.325 9999
117.655 30.3286 9999
117.655 30.3331 9999
117.665 30.3383 9999
117.665 30.3418 9999
117.665 30.3452 9999
117.665 30.3487 9999
117.665 30.3523 9999
117.665 30.3561 9999
117.665 30.3601 9999
117.665 30.3644 9999
117.671 30.365 9999
117.675 30.3663 9999
117.675 30.371 9999
117.675 30.3766 9999
117.675 30.3835 9999
117.679 30.385 9999
117.684 30.385 9999
117.692 30.375 9999
117.695 30.375 9999
117.698 30.375 9999
117.701 30.375 9999
117.704 30.375 9999

VALUE 0 122.699 30.3639 1.96602 41.5 307.017 317.865
POLYGON 73
122.699 30.425 9999
122.704 30.425 9999
122.71 30.425 9999
122.715 30.4238 9999
122.718 30.415 9999
122.723 30.415 9999
122.728 30.415 9999
122.735 30.415 9999
122.742 30.415 9999
122.745 30.4099 9999
122.748 30.405 9999
122.758 30.405 9999
122.765 30.402 9999
122.766 30.395 9999
122.784 30.395 9999
122.785 30.3869 9999
122.805 30.3826 9999
122.826 30.375 9999
122.865 30.3639 9999
122.875 30.3485 9999
122.875 30.3328 9999
122.875 30.3167 9999
122.875 30.2998 9999
122.847 30.295 9999
122.818 30.295 9999
122.754 30.325 9999
